"op","instr","amode","cycles"
"B9","ADC","dir",3
"BB","ADD","dir",3
"B4","AND","dir",3
"38","ASL_LSL","dir",5
"37","ASR","dir",5
"B5","BIT","dir",3
"3E","CLR","dir",5
"B1","CMP","dir",3
"33","COM","dir",5
"B3","CPX","dir",3
"3A","DEC","dir",5
"B8","EOR","dir",3
"3C","INC","dir",5
"BC","JMP","dir",2
"BD","JSR","dir",5
"B6","LDA","dir",3
"BE","LDX","dir",3
"34","LSR","dir",5
"30","NEG","dir",5
"BA","ORA","dir",3
"39","ROL","dir",5
"36","ROR","dir",5
"B2","SBC","dir",3
"B7","STA","dir",4
"BF","STX","dir",4
"B0","SUB","dir",3
"3D","TST","dir",4
"11","BCLR","direct_0",5
"10","BSET","direct_0",5
"13","BCLR","direct_1",5
"12","BSET","direct_1",5
"15","BCLR","direct_2",5
"14","BSET","direct_2",5
"17","BCLR","direct_3",5
"16","BSET","direct_3",5
"19","BCLR","direct_4",5
"18","BSET","direct_4",5
"1B","BCLR","direct_5",5
"1A","BSET","direct_5",5
"1D","BCLR","direct_6",5
"1C","BSET","direct_6",5
"1F","BCLR","direct_7",5
"1E","BSET","direct_7",5
"01","BRCLR","direct_rel_0",5
"00","BRSET","direct_rel_0",5
"03","BRCLR","direct_rel_1",5
"02","BRSET","direct_rel_1",5
"05","BRCLR","direct_rel_2",5
"04","BRSET","direct_rel_2",5
"07","BRCLR","direct_rel_3",5
"06","BRSET","direct_rel_3",5
"09","BRCLR","direct_rel_4",5
"08","BRSET","direct_rel_4",5
"0B","BRCLR","direct_rel_5",5
"0A","BRSET","direct_rel_5",5
"0D","BRCLR","direct_rel_6",5
"0C","BRSET","direct_rel_6",5
"0F","BRCLR","direct_rel_7",5
"0E","BRSET","direct_rel_7",5
"C9","ADC","ext",4
"CB","ADD","ext",4
"C4","AND","ext",4
"C5","BIT","ext",4
"C1","CMP","ext",4
"C3","CPX","ext",4
"C8","EOR","ext",4
"CC","JMP","ext",3
"CD","JSR","ext",6
"C6","LDA","ext",4
"CE","LDX","ext",4
"CA","ORA","ext",4
"C2","SBC","ext",4
"C7","STA","ext",5
"CF","STX","ext",5
"C0","SUB","ext",4
"A9","ADC","imm",2
"AB","ADD","imm",2
"A4","AND","imm",2
"A5","BIT","imm",2
"A1","CMP","imm",2
"A3","CPX","imm",2
"A8","EOR","imm",2
"A6","LDA","imm",2
"AE","LDX","imm",2
"AA","ORA","imm",2
"A2","SBC","imm",2
"A0","SUB","imm",2
"F9","ADC","indexed0",3
"FB","ADD","indexed0",3
"F4","AND","indexed0",3
"78","ASL_LSL","indexed0",5
"77","ASR","indexed0",5
"F5","BIT","indexed0",3
"7F","CLR","indexed0",5
"F1","CMP","indexed0",3
"73","COM","indexed0",5
"F3","CPX","indexed0",3
"7A","DEC","indexed0",5
"F8","EOR","indexed0",3
"7C","INC","indexed0",5
"FC","JMP","indexed0",2
"FD","JSR","indexed0",5
"F6","LDA","indexed0",3
"FE","LDX","indexed0",3
"74","LSR","indexed0",5
"70","NEG","indexed0",5
"FA","ORA","indexed0",3
"79","ROL","indexed0",5
"76","ROR","indexed0",5
"F2","SBC","indexed0",3
"F7","STA","indexed0",4
"FF","STX","indexed0",4
"F0","SUB","indexed0",3
"7D","TST","indexed0",4
"E9","ADC","indexed1",4
"EB","ADD","indexed1",4
"E4","AND","indexed1",4
"68","ASL_LSL","indexed1",6
"67","ASR","indexed1",6
"E5","BIT","indexed1",4
"6F","CLR","indexed1",6
"E1","CMP","indexed1",4
"63","COM","indexed1",6
"E3","CPX","indexed1",4
"6A","DEC","indexed1",6
"E8","EOR","indexed1",4
"6C","INC","indexed1",6
"EC","JMP","indexed1",3
"ED","JSR","indexed1",6
"E6","LDA","indexed1",4
"EE","LDX","indexed1",4
"64","LSR","indexed1",6
"60","NEG","indexed1",6
"EA","ORA","indexed1",4
"69","ROL","indexed1",6
"66","ROR","indexed1",6
"E2","SBC","indexed1",4
"E7","STA","indexed1",5
"EF","STX","indexed1",5
"E0","SUB","indexed1",4
"6D","TST","indexed1",5
"D9","ADC","indexed2",5
"DB","ADD","indexed2",5
"D4","AND","indexed2",5
"D5","BIT","indexed2",5
"D1","CMP","indexed2",5
"D3","CPX","indexed2",5
"D8","EOR","indexed2",5
"DC","JMP","indexed2",4
"DD","JSR","indexed2",7
"D6","LDA","indexed2",5
"DE","LDX","indexed2",5
"DA","ORA","indexed2",5
"D2","SBC","indexed2",5
"D7","STA","indexed2",6
"DF","STX","indexed2",6
"D0","SUB","indexed2",5
"48","ASLA_LSLA","inh_a",3
"58","ASLX_LSLX","inh_a",3
"47","ASRA","inh_a",3
"57","ASRX","inh_x",3
"98","CLC","inh",2
"9A","CLI","inh",2
"4F","CLRA","inh_a",3
"5F","CLRX","inh_x",3
"43","COMA","inh_a",3
"53","COMX","inh_x",3
"4A","DECA","inh_a",3
"5A","DECX","inh_x",3
"4C","INCA","inh_a",3
"5C","INCX","inh_x",3
"44","LSRA","inh_a",3
"54","LSRX","inh_x",3
"42","MUL","inh",11
"40","NEGA","inh_a",3
"50","NEGX","inh_x",3
"9D","NOP","inh",2
"49","ROLA","inh_a",3
"59","ROLX","inh_x",3
"46","RORA","inh_a",3
"56","RORX","inh_x",3
"9C","RSP","inh",2
"80","RTI","inh",9
"81","RTS","inh",6
"99","SEC","inh",2
"9B","SEI","inh",2
"8E","STOP","inh",2
"83","SWI","inh",10
"97","TAX","inh",2
"4D","TSTA","inh_a",3
"5D","TSTX","inh_x",3
"9F","TXA","inh",2
"8F","WAIT","inh",2
"24","BCC_BHS","rel",3
"25","BCS_BLO","rel",3
"27","BEQ","rel",3
"28","BHCC","rel",3
"29","BHCS","rel",3
"22","BHI","rel",3
"2F","BIH","rel",3
"2E","BIL","rel",3
"23","BLS","rel",3
"2C","BMC","rel",3
"2B","BMI","rel",3
"2D","BMS","rel",3
"26","BNE","rel",3
"2A","BPL","rel",3
"20","BRA","rel",3
"21","BRN","rel",3
"AD","BSR","rel",6
"31",,,
"32",,,
"35",,,
"3B",,,
"3F",,,
"41",,,
"45",,,
"4B",,,
"4E",,,
"51",,,
"52",,,
"55",,,
"5B",,,
"5E",,,
"61",,,
"62",,,
"65",,,
"6B",,,
"6E",,,
"71",,,
"72",,,
"75",,,
"7B",,,
"7E",,,
"82",,,
"84",,,
"85",,,
"86",,,
"87",,,
"88",,,
"89",,,
"8A",,,
"8B",,,
"8C",,,
"8D",,,
"90",,,
"91",,,
"92",,,
"93",,,
"94",,,
"95",,,
"96",,,
"9E",,,
"A7",,,
"AC",,,
"AF",,,
